Crash Year,Crash Report Number,Vehicle Sequence Number,Vehicle Make,Vehicle Model,Vehicle Color,Vehicle Style,Vehicle Body Type Code,Vehicle Year,Vehicle ID Number
2017,870583300,1,YAMA,,BLK,MTCY,11,2009,JYARJ16E39A018363
2017,870583620,1,KAWK,,GRN,MTCY,11,2017,JKABRRJ10HDA05274
2017,870583680,2,TAOI,,RED,MS,12,2015,L9NTEACB9F1001882
2017,870584490,1,HD,,BLK,MTCY,11,2008,1HD1HHH198K804174
2017,870585340,2,INDA,,RED,MTCY,11,2014,56KCCVAA6E3312011
2017,870585450,2,MOTI,,RED,MS,11,2014,RFVPAP5A9E1115872
2017,870585540,1,TAOI,,RED,MS,12,2016,L9NTEACB1G1010222
2017,870585650,1,TAOI,,BLK,MOPD,12,2016,L9NTEACB1G1050994
2017,870585920,1,YAMA,,BLU,MTCY,11,2002,JYARN07E52A003785
2017,870586250,1,KAWA,,GRN,MTCY,11,2014,JKAVN2C11EA057584
2017,870586340,2,KAWK,,BLK/,MTCY,11,2004,JKBVNAE174A117823
2017,870587440,1,HD,,GRY/,MTCY,11,2017,1HD1LM318HC442055
2017,870588170,2,VICO,,MAR/,MTCY,11,2001,5VPCD15D813002454
2017,870588370,1,HD,,BLK,MTCY,11,2015,1HD4LE217FC438161
2017,870589140,1,HOND,,ONG,MTCY,11,2003,JH2PC37083M009286
2017,870591370,2,BMW,,GRY,MTCY,11,2010,WB1051701AZV41744
2017,870591520,1,YAMA,,BLK,MOPD,12,2017,RKRSA43AXHA124177
2017,870592560,1,UNK,,BLK,MS,12,,UNK
2017,870593070,1,YAMA,,SIL,MTCY,11,2017,JYARM06E3HA011297
2017,870593340,2,YAMA,,SIL,MTCY,11,2015,JYAVN06E3FA000549
2017,870599250,1,KYMC,KYMCD,RED,MD,12,2015,LC2U2A021FC100714
2017,870600680,1,UK,UNKNOWN,UNKNOWN,UNKNOWN,11,,UNKNOWN
2017,870601660,1,KYMO,,BLU,MC,12,2012,LC2U6A033CC000820
2017,870602290,2,HOND,MC,BLK,MC,11,1981,JH2RC011XBM120123
2017,870602430,2,HD,MC,BLU,MC,11,2004,1HD1FDV174Y705895
2017,870605820,2,HD,ROADKING,YEL,MC,11,2006,1HD1FYW186Y634635
2017,870606850,1,UK,,UNKNOWN,UNKNOWN,11,,UNK
2017,870608760,2,HD,MOTORCYCLE,ONG,MC,11,2015,1HD1LL316FC423950
2017,870610620,1,SSR,DIRT BIKE,BLK,MB,11,2014,AJSDABR3F00104834
2017,870612210,1,YAMA,MC,BLU,MC,11,2006,JYARJ12E26A008344
2017,870613380,1,KAWK,MC,RED,MC,11,2007,JKAEXMF177DA30508
2017,870613760,1,HD,MC,BLK,MC,11,1999,1HD1FCW17XY645128
2017,870615390,2,HOND,MC,WHI,MC,11,2011,JH2SC6143BK001243
2017,870615510,1,HD,TRI,WHI,MC,11,2007,1HD1FC4147Y698212
2017,870616180,2,BMW,,GRY,MB,11,2011,WB1051707BZV43757
2017,870617200,2,KAWK,600CC,BLK,MC,11,2011,JKAEXEC1XBDA71797
2017,870617250,2,YAMA,MC,BLU,MC,11,2000,JYARN05EXYA000232
2017,870617770,1,HOND,ROADSTER,BLK,MC,11,2009,JH2MC13069K502594
2017,870617960,1,KAWA,MOTORCYCLE,GRN,MC,11,2006,3CG3D7A4563000649
2017,870618010,2,HD,883,BLK,MC,11,2013,1HD4CR216DC410453
2017,870619420,2,KAWK,MOTORCYCLE,BLK,MC,11,2015,JKAVN2D11FA054104
2017,870619630,1,KAWK,MOTORCYCLE,BLK,MC,11,2011,JKAEXMJ17BDA86917
2017,870620590,1,RIYA,RY50QT,WHI,MS,12,2017,LEHTCB013HR001331
2017,870621710,2,SUZI,MC,BLK,MC,11,2007,JS1GT77AX72107708
2017,870622310,1,MC,UNKNOWN,GLD,MC,11,2008,JS1GT77A782102371
2017,870623900,1,KAWK,,GRN,MC,11,2004,JKBVNAE134A116944
2017,870624480,1,YAMA,,BLU,MC,11,2004,JYAVP14E94A009868
2017,870624800,2,HD,MC,WHI,MC,11,2018,1HD1KTC15JB616611
2017,870626310,2,HD,MC,BLU,MC,11,1999,1HD1FCW19XY645633
2017,870637540,1,HOND,CBR1000,Red,sport,11,2008,JH2SC59088M000114
2017,870637610,1,KAWK,MC,Black,Motorcycle,11,1986,JKAZL2A12GB504723
2017,870647760,1,HD,CYL,BLK,MC,11,2018,1HD1FMC14JB600183
2017,870651100,2,HD,,BLK,MC,11,2017,1HD1GS810HC315964
2017,870652590,2,HD,,BLK,MC,11,2016,1HD1KTM16GB621095
2017,870655030,1,HOND,,RED,MC,11,1996,JH2PC2131TM302976
2017,870655920,1,SUZI,,BLK,MC,11,2006,JS1GW71A162103657
2017,870657100,1,HD,,ONG,MC,11,2015,1HD1LC315EC410296
2017,870660080,2,HARLE,SPORTSTER,BLU,MC,11,1997,1HD4CAM36VY226487
2017,870660100,2,RIYA,,BLK,MC,11,2015,LEHTCB014FR500071
2017,870662360,1,Harle,xlh883,BLK,MC,11,1992,1HD4CAM15NY111135
2017,870665260,1,HD,XL1200X,SIL,MC,11,2016,1HD1LC318GC446101
2017,870666590,1,PIAG,MC,WHI,MC,11,2013,ZAPM707EXD4001703
2017,870666760,1,ZHNG,RX50,BLK,MC,12,2016,L5YACBPA9G1123167
2017,870675810,1,JIAJ,,RED,MD,12,2016,LLPVGBAA6G1D20300
2017,870675830,1,YAMA,M/C,BLU,MC,11,2007,JYARJ10E37A001813
2017,870678210,1,KENW,TK,WHI,TR,11,2000,1XKDDU9X2YJ859498
2017,870679800,2,YAMA,VINO,BRO,MC,11,2016,RKRSA47A1GA013980
2017,870679840,1,YAMA,FZ09,GRY,MC,11,2013,JYARN23EXDA014656
2017,870681310,1,YAMAH,,GRY,MC,11,2016,JYARN39E7GA002482
2017,870682150,2,KAWK,MOTOR,WHI,MC,11,2014,JKBZXJE18EA011197
2017,870682870,2,HOND,MC,PLE,MC,11,2003,JH2RC445X3M701502
2017,870683690,1,HD,MCY,GRY,MC,11,2015,1HD1KRM13FB692742
2017,870684130,2,YAMAH,ZX8,BLK,MC,11,2012,JYARN27E9CA002846
2017,870684330,1,HOND,RUCKUS,GRY,MS,12,2006,JH2AF58416K201403
2017,870686680,2,APRI,MOJITO,BLK,MC,11,2007,ZD4RYC1087S000329
2017,870686960,1,KYOO,,ONG,MS,12,2014,LC2U9A020EC100147
2017,870687200,1,SUZI,,BLU,MC,11,2005,JS1CP51A352100418
2017,870688620,1,HOND,MAGNA,TRQ/BLK,MC,11,1995,JH2RC4333SM001660
2017,870689970,1,YAMA,MC,GRY,MC,11,2014,JYAVP33E9EA009738
2017,870690570,3,KAWK,NINJA 650,WHI,MC,11,2015,JKAEXEE15FDA17908
2017,870692090,2,SANY,CITYCOM,BLK,MC,11,2013,RFGBS1UD1DSLH0673
2017,870692450,2,SUZUK,,BLU,MC,11,2000,UNK
2017,870693300,2,KYMC,SCOOTER,GRY,MC,11,2012,RFBT9H151CB210565
2017,870693780,1,ZHNG,WOLF V50,BLK,MC,12,2017,L5YACBPA3H1112408
2017,870694050,2,YAMA,,SIL,MC,11,2013,JYARJ16E7DA028953
2017,870694330,1,YAMA,ZUMA,BLK,MD,12,2007,LPRSA30A27A130697
2017,870694520,1,ZHNG,BLUE WOLF,BLU,MC,12,2017,L5YACBPZ2H1123552
2017,870695050,1,HONDA,CBR600,ONG,MC,11,2006,JH2PC37046M312781
